INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
280879491,01/21/2024,06:08:00,BRONX,INSIDE,47,0,STREET,(null),N,(null),(null),(null),45-64,M,BLACK,1023421,264176,40.891691,-73.858323,POINT (-73.858323 40.891691)
286098201,04/29/2024,23:08:00,BROOKLYN,OUTSIDE,90,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,18-24,M,BLACK,999200,197683,40.709259,-73.946074,POINT (-73.946074 40.709259)
283767688,03/14/2024,18:12:00,BRONX,OUTSIDE,41,0,STREET,(null),N,25-44,M,BLACK,25-44,F,BLACK,1013033,238142,40.820276,-73.896006,POINT (-73.896006 40.820276)
280126746,01/07/2024,22:00:00,BROOKLYN,OUTSIDE,84,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),25-44,M,BLACK,989325,194210,40.699737,-73.981697,POINT (-73.981697 40.699737)
286036819,04/27/2024,20:43:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),Y,18-24,M,BLACK,18-24,M,BLACK,1004497,176955,40.652355,-73.927031,POINT (-73.927031 40.652355)
288607694,06/16/2024,02:50:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1003290,241056,40.82829795465734,-73.93120074543612,POINT (-73.93120074543612 40.82829795465734)
288294534,06/10/2024,20:40:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1013658,249909,40.852571,-73.893695,POINT (-73.893695 40.852571)
287125473,05/19/2024,04:15:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),Y,25-44,M,BLACK,45-64,M,BLACK,1014584,178453,40.656439,-73.890673,POINT (-73.890673 40.656439)
288930514,06/22/2024,05:13:00,QUEENS,OUTSIDE,108,0,COMMERCIAL,(null),N,(null),(null),(null),18-24,M,WHITE,999505,213024,40.751367,-73.944941,POINT (-73.944941 40.751367)
281078953,01/24/2024,23:26:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),Y,(null),(null),(null),25-44,M,BLACK,1008858,186137,40.677546,-73.911282,POINT (-73.911282 40.677546)
283447059,03/08/2024,20:00:00,BRONX,OUTSIDE,52,0,STREET,(null),N,<18,M,BLACK HISPANIC,<18,M,BLACK,1013654,255157,40.866974,-73.893689,POINT (-73.893689 40.866974)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,25-44,M,BLACK,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
288795045,06/19/2024,11:52:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1013179,251338,40.856494,-73.895422,POINT (-73.895422 40.856494)
286159384,04/30/2024,13:35:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),N,65+,M,WHITE HISPANIC,65+,M,BLACK HISPANIC,1003027,248606,40.849022,-73.932127,POINT (-73.932127 40.849022)
284540124,03/29/2024,19:54:00,MANHATTAN,OUTSIDE,7,0,OTHER,(null),N,18-24,M,BLACK HISPANIC,18-24,M,BLACK,988980,201020,40.71843,-73.982936,POINT (-73.982936 40.71843)
287987381,06/04/2024,19:00:00,BROOKLYN,INSIDE,75,0,DWELLING,MULTI DWELL - APT BUILD,N,(null),(null),(null),18-24,M,BLACK,1022337,183744,40.670931,-73.862701,POINT (-73.862701 40.670931)
284213334,03/23/2024,00:06:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),N,(null),(null),(null),18-24,M,WHITE HISPANIC,1001575,232339,40.804375769710255,-73.93742023722204,POINT (-73.93742023722204 40.804375769710255)
287052527,05/17/2024,02:00:00,BRONX,INSIDE,42,0,COMMERCIAL,(null),N,(null),(null),(null),18-24,M,BLACK,1011032,243675,40.835469,-73.903213,POINT (-73.903213 40.835469)
289061107,06/25/2024,03:05:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),N,(null),(null),(null),45-64,M,BLACK,994549,184536,40.673181,-73.962871,POINT (-73.962871 40.673181)
283885164,03/16/2024,12:45:00,MANHATTAN,OUTSIDE,9,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,989057,204238,40.72726147876676,-73.98265669309377,POINT (-73.98265669309377 40.72726147876676)
285394785,04/16/2024,01:08:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK HISPANIC,997391,231145,40.801108,-73.952532,POINT (-73.952532 40.801108)
281534580,02/01/2024,20:57:00,STATEN ISLAND,OUTSIDE,120,0,STREET,PVT HOUSE,N,(null),(null),(null),25-44,M,BLACK,959876,172911,40.641246,-74.087825,POINT (-74.087825 40.641246)
287987384,06/04/2024,23:28:00,BRONX,OUTSIDE,49,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1020290,245848,40.841399,-73.869744,POINT (-73.869744 40.841399)
284321059,03/25/2024,22:09:00,BRONX,INSIDE,46,0,COMMERCIAL,SMALL MERCHANT,N,25-44,M,BLACK,18-24,M,AMERICAN INDIAN/ALASKAN NATIVE,1013790,253301,40.861879,-73.893205,POINT (-73.893205 40.861879)
280822659,01/19/2024,18:20:00,BROOKLYN,OUTSIDE,73,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1006025,185468,40.675719,-73.921496,POINT (-73.921496 40.675719)
287913165,06/03/2024,21:00:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),<18,F,BLACK,1008147,185176,40.674909803933076,-73.91384902494798,POINT (-73.91384902494798 40.674909803933076)
286764295,05/11/2024,20:25:00,BROOKLYN,OUTSIDE,83,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,F,BLACK HISPANIC,1008071,194753,40.70119666272831,-73.91408915074172,POINT (-73.91408915074172 40.70119666272831)
285315560,04/14/2024,04:00:00,QUEENS,OUTSIDE,108,0,COMMERCIAL,BAR/NIGHT CLUB,N,18-24,M,BLACK,25-44,M,BLACK,1007679,209904,40.742785,-73.915449,POINT (-73.915449 40.742785)
285380962,04/15/2024,04:03:00,BRONX,OUTSIDE,40,0,VEHICLE,(null),Y,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1006074,236931,40.816972,-73.921152,POINT (-73.921152 40.816972)
282041194,02/10/2024,21:25:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1007536,244566,40.837924,-73.915846,POINT (-73.915846 40.837924)
288243974,06/09/2024,00:59:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1014092,251307,40.85640404084293,-73.89212314731202,POINT (-73.89212314731202 40.85640404084293)
287542648,05/27/2024,02:19:00,BROOKLYN,INSIDE,90,0,COMMERCIAL,(null),N,25-44,M,BLACK,25-44,M,BLACK,1005580,198190,40.710638,-73.923061,POINT (-73.923061 40.710638)
